iter	Passed	Remaining
717	2683	1053
718	2686	1049
719	2689	1045
720	2693	1042
721	2696	1038
722	2700	1034
723	2703	1030
724	2707	1026
725	2711	1023
726	2714	1019
727	2717	1015
728	2721	1011
729	2725	1008
730	2729	1004
731	2732	1000
732	2736	996
733	2740	993
734	2743	989
735	2747	985
736	2750	981
737	2755	978
738	2759	974
739	2763	970
740	2767	967
741	2771	963
742	2774	959
743	2778	956
744	2782	952
745	2787	949
746	2791	945
747	2795	941
748	2799	938
749	2804	934
750	2809	931
751	2813	928
752	2818	924
753	2822	920
754	2825	916
755	2828	913
756	2832	909
757	2836	905
758	2840	901
759	2843	897
760	2846	893
761	2850	890
762	2854	886
763	2857	882
764	2860	878
765	2863	874
766	2867	870
767	2870	867
768	2873	863
769	2876	859
770	2879	855
771	2883	851
772	2886	847
773	2889	843
774	2893	839
775	2896	836
776	2901	832
777	2904	828
778	2907	824
779	2911	821
780	2915	817
781	2919	813
782	2922	810
783	2926	806
784	2931	802
785	2935	799
786	2938	795
787	2942	791
788	2946	787
789	2950	784
790	2953	780
791	2956	776
792	2959	772
793	2963	768
794	2966	765
795	2969	761
796	2973	757
797	2976	753
798	2980	749
799	2983	745
800	2986	742
801	2990	738
802	2994	734
803	2997	730
804	3000	726
805	3003	723
806	3006	719
807	3011	715
808	3015	711
809	3019	708
810	3023	704
811	3028	701
812	3031	697
813	3035	693
814	3038	689
815	3041	685
816	3046	682
817	3049	678
818	3052	674
819	3055	670
820	3059	667
821	3062	663
822	3065	659
823	3069	655
824	3074	652
825	3078	648
826	3081	644
827	3085	641
828	3093	638
829	3097	634
830	3101	630
831	3107	627
832	3111	623
833	3115	620
834	3118	616
835	3123	612
836	3127	609
837	3130	605
838	3134	601
839	3139	597
840	3143	594
841	3147	590
842	3151	586
843	3156	583
844	3160	579
845	3163	575
846	3168	572
847	3173	568
848	3176	565
849	3179	561
850	3184	557
851	3188	553
852	3192	550
853	3195	546
854	3200	542
855	3205	539
856	3209	535
857	3214	531
858	3221	528
859	3227	525
860	3232	521
861	3237	518
862	3241	514
863	3246	511
864	3250	507
865	3254	503
866	3257	499
867	3261	496
868	3266	492
869	3269	488
870	3272	484
871	3275	480
872	3280	477
873	3284	473
874	3287	469
875	3290	465
876	3296	462
877	3300	458
878	3303	454
